age_years,sex,year,cultural_background,adjusted_population
5,Male,2006,Other,8817.160044
5,Female,2006,Other,8674.975881
6,Male,2006,Other,9348.742897
6,Female,2006,Other,8669.223743
7,Male,2006,Other,9363.76344
7,Female,2006,Other,8999.197663
8,Male,2006,Other,9333.181956
8,Female,2006,Other,8939.826466
9,Male,2006,Other,9520.19013
9,Female,2006,Other,9100.73788
10,Male,2006,Other,9858.76057
10,Female,2006,Other,9263.179868
11,Male,2006,Other,10100.67444
11,Female,2006,Other,9389.595999
12,Male,2006,Other,9726.919637
12,Female,2006,Other,9417.622291
13,Male,2006,Other,10066.59678
13,Female,2006,Other,9499.351374
14,Male,2006,Other,10154.746
14,Female,2006,Other,9625.881807
15,Male,2006,Other,10261.89935
15,Female,2006,Other,9468.835649
16,Male,2006,Other,10227.85263
16,Female,2006,Other,9695.834769
17,Male,2006,Other,10462.28099
17,Female,2006,Other,9415.486141
0,Male,2007,Other,8742.162155
0,Female,2007,Other,8177.482168
1,Male,2007,Other,8561.406783
1,Female,2007,Other,8146.496136
2,Male,2007,Other,8798.562092
2,Female,2007,Other,8150.714382
3,Male,2007,Other,8623.059869
3,Female,2007,Other,8293.026224
4,Male,2007,Other,8784.543205
4,Female,2007,Other,8379.706064
5,Male,2007,Other,8817.160044
5,Female,2007,Other,8674.975881
6,Male,2007,Other,9348.742897
6,Female,2007,Other,8669.223743
7,Male,2007,Other,9363.76344
7,Female,2007,Other,8999.197663
8,Male,2007,Other,9333.181956
8,Female,2007,Other,8939.826466
9,Male,2007,Other,9520.19013
9,Female,2007,Other,9100.73788
10,Male,2007,Other,9858.76057
10,Female,2007,Other,9263.179868
11,Male,2007,Other,10100.67444
11,Female,2007,Other,9389.595999
12,Male,2007,Other,9726.919637
12,Female,2007,Other,9417.622291
13,Male,2007,Other,10066.59678
13,Female,2007,Other,9499.351374
14,Male,2007,Other,10154.746
14,Female,2007,Other,9625.881807
15,Male,2007,Other,10261.89935
15,Female,2007,Other,9468.835649
16,Male,2007,Other,10227.85263
16,Female,2007,Other,9695.834769
17,Male,2007,Other,10462.28099
17,Female,2007,Other,9415.486141
0,Male,2008,Other,8742.162155
0,Female,2008,Other,8177.482168
1,Male,2008,Other,8561.406783
1,Female,2008,Other,8146.496136
2,Male,2008,Other,8798.562092
2,Female,2008,Other,8150.714382
3,Male,2008,Other,8623.059869
3,Female,2008,Other,8293.026224
4,Male,2008,Other,8784.543205
4,Female,2008,Other,8379.706064
5,Male,2008,Other,8817.160044
5,Female,2008,Other,8674.975881
6,Male,2008,Other,9348.742897
6,Female,2008,Other,8669.223743
7,Male,2008,Other,9363.76344
7,Female,2008,Other,8999.197663
8,Male,2008,Other,9333.181956
8,Female,2008,Other,8939.826466
9,Male,2008,Other,9520.19013
9,Female,2008,Other,9100.73788
10,Male,2008,Other,9858.76057
10,Female,2008,Other,9263.179868
11,Male,2008,Other,10100.67444
11,Female,2008,Other,9389.595999
12,Male,2008,Other,9726.919637
12,Female,2008,Other,9417.622291
13,Male,2008,Other,10066.59678
13,Female,2008,Other,9499.351374
14,Male,2008,Other,10154.746
14,Female,2008,Other,9625.881807
15,Male,2008,Other,10261.89935
15,Female,2008,Other,9468.835649
16,Male,2008,Other,10227.85263
16,Female,2008,Other,9695.834769
17,Male,2008,Other,10462.28099
17,Female,2008,Other,9415.486141
0,Male,2009,Other,9243.764204
0,Female,2009,Other,8812.031914
1,Male,2009,Other,9523.375029
1,Female,2009,Other,8948.965099
2,Male,2009,Other,9546.961704
2,Female,2009,Other,9090.553764
3,Male,2009,Other,9575.080347
3,Female,2009,Other,9180.057559
4,Male,2009,Other,9595.1559
4,Female,2009,Other,9404.481501
5,Male,2009,Other,9540.737748
5,Female,2009,Other,8882.922568
6,Male,2009,Other,9107.832511
6,Female,2009,Other,8863.806172
7,Male,2009,Other,9369.634622
7,Female,2009,Other,8566.466543
8,Male,2009,Other,9044.186068
8,Female,2009,Other,8721.436143
9,Male,2009,Other,9235.870944
9,Female,2009,Other,8735.672529
10,Male,2009,Other,9275.321614
10,Female,2009,Other,8900.811295
11,Male,2009,Other,9703.540622
11,Female,2009,Other,9064.994247
12,Male,2009,Other,9773.299567
12,Female,2009,Other,9390.644229
13,Male,2009,Other,9779.850657
13,Female,2009,Other,9314.964713
14,Male,2009,Other,9800.139671
